kindName;otherKindName;count;count_unique;min_time;max_time;avg_time
taskComplete;taskNew;;8;1556952676000;1556952676000;1556952676000.0
taskNew;taskDelivered;;27;1556952725000;1556952725000;1556952725000.0
taskDelivered;taskComplete;;27;1556952725000;1556952725000;1556952725000.0
taskComplete;taskOperation;;21;1556952740000;1556952740000;1556952740000.0
taskOperation;taskCostSpent;;27;1556952725000;1556952725000;1556952725000.0
taskCostSpent;taskAssigned;;27;1556953358000;1556953358000;1556953358000.0
taskAssigned;taskCostSpent;;27;1556952725000;1556952725000;1556952725000.0
taskCostSpent;taskDelivered;;27;1556953358000;1556953358000;1556953358000.0
taskDelivered;taskComplete;;19;1556952743000;1556952743000;1556952743000.0
taskComplete;taskOperation;;12;1556952735000;1556952735000;1556952735000.0
taskOperation;taskSupported;;19;1556952743000;1556952743000;1556952743000.0
taskSupported;taskSupported;;19;1556953343000;1556953343000;1556953343000.0
taskSupported;taskCostSpent;;19;1556953343000;1556953343000;1556953343000.0
taskCostSpent;taskDelivered;;19;1556953343000;1556953343000;1556953343000.0
taskDelivered;taskComplete;;8;1556952736000;1556952736000;1556952736000.0
taskComplete;taskOperation;;5;1556952732000;1556952732000;1556952732000.0
taskOperation;taskCostSpent;;8;1556952736000;1556952736000;1556952736000.0
taskCostSpent;taskAssigned;;8;1556953582000;1556953582000;1556953582000.0
taskAssigned;taskCostSpent;;8;1556952736000;1556952736000;1556952736000.0
taskCostSpent;taskDelivered;;8;1556953582000;1556953582000;1556953582000.0
taskDelivered;taskDelivered;;2;1556952752000;1556952752000;1556952752000.0
taskDelivered;taskOperation;;1;1556952730000;1556952730000;1556952730000.0
taskOperation;taskCostSpent;;1;1556952730000;1556952730000;1556952730000.0
taskCostSpent;taskAssigned;;1;1556953253000;1556953253000;1556953253000.0
taskAssigned;taskCostSpent;;1;1556952730000;1556952730000;1556952730000.0
taskCostSpent;taskOperation;;1;1556953253000;1556953253000;1556953253000.0
taskOperation;taskCostSpent;;2;1556952752000;1556952752000;1556952752000.0
taskCostSpent;taskAssigned;;2;1556953214000;1556953214000;1556953214000.0
taskAssigned;taskCostSpent;;2;1556952752000;1556952752000;1556952752000.0
taskCostSpent;taskDelivered;;2;1556953214000;1556953214000;1556953214000.0
taskDelivered;taskComplete;;21;1556952800000;1556952800000;1556952800000.0
taskComplete;taskComplete;;16;1556952838000;1556952838000;1556952838000.0
taskComplete;taskComplete;;9;1556952836000;1556952836000;1556952836000.0
taskComplete;taskOperation;;13;1556952804000;1556952804000;1556952804000.0
taskOperation;taskSupported;;21;1556952800000;1556952800000;1556952800000.0
taskSupported;taskSupported;;21;1556953400000;1556953400000;1556953400000.0
taskSupported;taskCostSpent;;21;1556953400000;1556953400000;1556953400000.0
taskCostSpent;taskDelivered;;21;1556953400000;1556953400000;1556953400000.0
taskDelivered;taskOperation;;12;1556952795000;1556952795000;1556952795000.0
taskOperation;taskCostSpent;;12;1556952795000;1556952795000;1556952795000.0
taskCostSpent;taskAssigned;;12;1556953568000;1556953568000;1556953568000.0
taskAssigned;taskCostSpent;;12;1556952795000;1556952795000;1556952795000.0
taskCostSpent;taskDelivered;;12;1556953568000;1556953568000;1556953568000.0
taskDelivered;taskOperation;;5;1556952792000;1556952792000;1556952792000.0
taskOperation;taskSupported;;5;1556952792000;1556952792000;1556952792000.0
taskSupported;taskCostSpent;;5;1556952852000;1556952852000;1556952852000.0
taskCostSpent;taskNew;;5;1556952852000;1556952852000;1556952852000.0
taskNew;taskDelivered;;28;1556952869000;1556952869000;1556952869000.0
taskDelivered;taskComplete;;28;1556952869000;1556952869000;1556952869000.0
taskComplete;taskComplete;;24;1556952895000;1556952895000;1556952895000.0
taskComplete;taskOperation;;20;1556952841000;1556952841000;1556952841000.0
taskOperation;taskCostSpent;;28;1556952869000;1556952869000;1556952869000.0
taskCostSpent;taskAssigned;;28;1556953491000;1556953491000;1556953491000.0
taskAssigned;taskCostSpent;;28;1556952869000;1556952869000;1556952869000.0
taskCostSpent;taskComplete;;28;1556953491000;1556953491000;1556953491000.0
taskComplete;taskComplete;;11;1556952877000;1556952877000;1556952877000.0
taskComplete;taskDelivered;;10;1556952855000;1556952855000;1556952855000.0
taskDelivered;taskDelivered;;13;1556952864000;1556952864000;1556952864000.0
taskDelivered;taskDelivered;;9;1556952896000;1556952896000;1556952896000.0
taskDelivered;taskOperation;;16;1556952898000;1556952898000;1556952898000.0
